total time to compute on CPU: 0.060341
total time to compute on GPU: 0.266907
Is the host computation the same as the GPU computation? : True
         182007 function calls (177101 primitive calls) in 3.964 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    23/10    0.000    0.000    0.001    0.000 pyparsing.py:3547(parseImpl)
        1    0.001    0.001    0.001    0.001 io.py:34(<module>)
        1    0.000    0.000    0.001    0.001 difflib.py:27(<module>)
      206    0.001    0.000    0.001    0.000 sre_compile.py:546(isstring)
        6    0.001    0.000    0.001    0.000 {method 'update' of '_hashlib.HASH' objects}
       52    0.000    0.000    0.001    0.000 linecache.py:13(getline)
     22/8    0.000    0.000    0.001    0.000 pyparsing.py:3737(parseImpl)
        1    0.001    0.001    0.001    0.001 collections.py:11(<module>)
    87/79    0.000    0.000    0.001    0.000 pyparsing.py:3576(__str__)
        1    0.001    0.001    0.001    0.001 __init__.py:24(<module>)
        2    0.000    0.000    0.001    0.001 tempfile.py:135(next)
        1    0.001    0.001    0.001    0.001 threading.py:1(<module>)
       52    0.000    0.000    0.001    0.000 linecache.py:33(getlines)
        2    0.001    0.000    0.001    0.001 gpuarray.py:162(__init__)
        1    0.000    0.000    0.001    0.001 linecache.py:72(updatecache)
        2    0.000    0.000    0.001    0.001 tempfile.py:124(rng)
       66    0.000    0.000    0.001    0.000 version.py:74(__init__)
        2    0.001    0.001    0.001    0.001 {method 'encode' of 'unicode' objects}
        1    0.000    0.000    0.001    0.001 hermite_e.py:60(<module>)
      4/3    0.000    0.000    0.001    0.000 pyparsing.py:3859(parseImpl)
        3    0.000    0.000    0.001    0.000 __init__.py:487(memoize)
        1    0.001    0.001    0.001    0.001 {method 'readlines' of 'file' objects}
       44    0.000    0.000    0.001    0.000 core.py:146(get_object_signature)
        1    0.000    0.000    0.001    0.001 polynomial.py:57(<module>)
       14    0.000    0.000    0.001    0.000 __init__.py:2103(safe_listdir)
       66    0.000    0.000    0.001    0.000 version.py:131(_legacy_cmpkey)
        1    0.000    0.000    0.001    0.001 compiler.py:1(<module>)
        1    0.000    0.000    0.001    0.001 pickle.py:25(<module>)
        1    0.000    0.000    0.001    0.001 six.py:1(<module>)
        1    0.000    0.000    0.001    0.001 __init__.py:2407(EntryPoint)
    77/62    0.000    0.000    0.001    0.000 pyparsing.py:3434(__str__)
        4    0.000    0.000    0.001    0.000 tools.py:400(parse_c_arg)
       30    0.000    0.000    0.001    0.000 getlimits.py:43(<lambda>)
        1    0.001    0.001    0.001    0.001 linalg.py:10(<module>)
      335    0.001    0.000    0.001    0.000 pyparsing.py:1144(__init__)
     1247    0.001    0.000    0.001    0.000 sre_parse.py:93(__init__)
        4    0.000    0.000    0.001    0.000 dtypes.py:206(parse_c_arg_backend)
        5    0.000    0.000    0.001    0.000 decorator.py:258(decorator)
      438    0.001    0.000    0.001    0.000 numerictypes.py:293(issubclass_)
        1    0.000    0.000    0.001    0.001 _type_aliases.py:24(<module>)
       48    0.000    0.000    0.001    0.000 pyparsing.py:1948(__or__)
     2784    0.001    0.000    0.001    0.000 {min}
       26    0.000    0.000    0.001    0.000 core.py:6567(__init__)
       18    0.000    0.000    0.001    0.000 abc.py:105(register)
       26    0.000    0.000    0.001    0.000 core.py:6572(getdoc)
        1    0.001    0.001    0.001    0.001 <string>:1(ParseResult)
      308    0.000    0.000    0.001    0.000 {all}
      846    0.001    0.000    0.001    0.000 {method 'format' of 'str' objects}
    34/21    0.000    0.000    0.001    0.000 abc.py:148(__subclasscheck__)
      407    0.000    0.000    0.001    0.000 pyparsing.py:3581(<genexpr>)
       48    0.000    0.000    0.001    0.000 pyparsing.py:3540(__init__)
       16    0.000    0.000    0.001    0.000 pyparsing.py:1204(setResultsName)
       82    0.000    0.000    0.001    0.000 pyparsing.py:3719(__init__)
       69    0.000    0.000    0.001    0.000 pyparsing.py:2412(__init__)
      126    0.000    0.000    0.001    0.000 __init__.py:2345(_normalize_cached)
        1    0.000    0.000    0.001    0.001 __init__.py:10(<module>)
       15    0.000    0.000    0.001    0.000 arrayprint.py:1499(_array_str_implementation)
        1    0.000    0.000    0.001    0.001 zipfile.py:420(_ZipDecrypter)
        1    0.000    0.000    0.001    0.001 util.py:1(<module>)
        1    0.001    0.001    0.001    0.001 zipfile.py:433(_GenerateCRCTable)
        1    0.000    0.000    0.001    0.001 tempfile.py:235(_mkstemp_inner)
        1    0.000    0.000    0.001    0.001 dtypes.py:197(_fill_dtype_registry)
        1    0.000    0.000    0.001    0.001 dtypes.py:114(fill_registry_with_c_types)
        8    0.000    0.000    0.001    0.000 __init__.py:2329(normalize_path)
       15    0.001    0.000    0.001    0.000 arrayprint.py:463(wrapper)
       31    0.000    0.000    0.001    0.000 decorator.py:55(getfullargspec)
        1    0.000    0.000    0.001    0.001 numbers.py:6(<module>)
       15    0.000    0.000    0.001    0.000 __init__.py:3278(<genexpr>)
       53    0.000    0.000    0.001    0.000 core.py:892(__init__)
        4    0.000    0.000    0.001    0.000 __init__.py:1910(get_metadata_lines)
        4    0.000    0.000    0.001    0.000 __init__.py:1893(get_metadata)
       14    0.000    0.000    0.001    0.000 __init__.py:2776(activate)
       69    0.001    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
     1544    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
      188    0.000    0.000    0.001    0.000 sre_parse.py:237(_class_escape)
      582    0.001    0.000    0.001    0.000 {method 'update' of 'dict' objects}
      170    0.000    0.000    0.001    0.000 pyparsing.py:3439(<genexpr>)
        1    0.000    0.000    0.001    0.001 main.py:1(<module>)
     1288    0.001    0.000    0.001    0.000 {any}
        1    0.000    0.000    0.001    0.001 fftpack.py:32(<module>)
      897    0.001    0.000    0.001    0.000 {hasattr}
        1    0.000    0.000    0.001    0.001 arrayprint.py:5(<module>)
      284    0.000    0.000    0.001    0.000 sre_parse.py:278(_escape)
        8    0.000    0.000    0.001    0.000 posixpath.py:372(realpath)
      105    0.001    0.000    0.001    0.000 {posix.stat}
        1    0.000    0.000    0.001    0.001 utils.py:1(<module>)
      274    0.000    0.000    0.001    0.000 version.py:114(_parse_version_parts)
       14    0.000    0.000    0.001    0.000 pyparsing.py:2026(__call__)
      170    0.001    0.000    0.001    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
        1    0.000    0.000    0.001    0.001 __init__.py:262(_reset_cache)
        1    0.000    0.000    0.001    0.001 extras.py:10(<module>)
       33    0.000    0.000    0.001    0.000 re.py:148(sub)
      192    0.000    0.000    0.001    0.000 _dtype.py:172(_byte_order_str)
       31    0.000    0.000    0.001    0.000 inspect.py:806(getargspec)
      471    0.000    0.000    0.001    0.000 copy_reg.py:92(__newobj__)
        1    0.000    0.000    0.001    0.001 _parseaddr.py:7(<module>)
        1    0.001    0.001    0.001    0.001 heapq.py:31(<module>)
        4    0.000    0.000    0.001    0.000 core.py:123(doc_note)
       39    0.000    0.000    0.001    0.000 _inspect.py:142(formatargspec)
      919    0.000    0.000    0.001    0.000 sre_compile.py:101(fixup)
      117    0.000    0.000    0.001    0.000 re.py:138(match)
        1    0.000    0.000    0.001    0.001 gpuarray.py:412(_new_like_me)
        1    0.000    0.000    0.001    0.001 __init__.py:1677(MemoizedZipManifests)
        3    0.000    0.000    0.000    0.000 pyparsing.py:1877(__mul__)
        4    0.000    0.000    0.000    0.000 re.py:168(split)
        1    0.000    0.000    0.000    0.000 dis.py:1(<module>)
      120    0.000    0.000    0.000    0.000 pyparsing.py:2368(__init__)
     12/2    0.000    0.000    0.000    0.000 pyparsing.py:1926(makeOptionalList)
        1    0.000    0.000    0.000    0.000 zipfile.py:501(ZipExtFile)
      485    0.000    0.000    0.000    0.000 urlparse.py:332(<genexpr>)
        1    0.000    0.000    0.000    0.000 fromnumeric.py:3(<module>)
      485    0.000    0.000    0.000    0.000 urllib.py:1216(<genexpr>)
       19    0.000    0.000    0.000    0.000 _add_newdocs.py:6664(add_newdoc_for_scalar_type)
        8    0.000    0.000    0.000    0.000 posixpath.py:380(_joinrealpath)
        4    0.000    0.000    0.000    0.000 pyparsing.py:3353(setResultsName)
        1    0.000    0.000    0.000    0.000 polynomial.py:4(<module>)
       90    0.000    0.000    0.000    0.000 abc.py:89(<genexpr>)
       65    0.000    0.000    0.000    0.000 version.py:343(_cmpkey)
        2    0.000    0.000    0.000    0.000 pyparsing.py:2863(__init__)
      750    0.000    0.000    0.000    0.000 collections.py:349(<genexpr>)
       38    0.000    0.000    0.000    0.000 pyparsing.py:4230(__init__)
     2323    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       51    0.000    0.000    0.000    0.000 _internal.py:808(_ufunc_doc_signature_formatter)
       20    0.000    0.000    0.000    0.000 __init__.py:1409(has_metadata)
        1    0.000    0.000    0.000    0.000 py3k.py:4(<module>)
       52    0.000    0.000    0.000    0.000 linecache.py:47(checkcache)
        1    0.000    0.000    0.000    0.000 ntpath.py:6(<module>)
        4    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
       44    0.000    0.000    0.000    0.000 _inspect.py:98(getargspec)
        1    0.000    0.000    0.000    0.000 quoprimime.py:27(<module>)
       80    0.000    0.000    0.000    0.000 _dtype.py:245(_is_packed)
        1    0.000    0.000    0.000    0.000 loader.py:1(<module>)
        1    0.000    0.000    0.000    0.000 driver.py:547(function_prepared_async_call)
       29    0.000    0.000    0.000    0.000 __init__.py:1317(safe_name)
       35    0.000    0.000    0.000    0.000 decorator.py:145(update)
        2    0.000    0.000    0.000    0.000 pyparsing.py:4681(originalTextFor)
       18    0.000    0.000    0.000    0.000 core.py:995(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:3000(DistInfoDistribution)
        8    0.000    0.000    0.000    0.000 __init__.py:1431(get_metadata_lines)
       71    0.000    0.000    0.000    0.000 sre_parse.py:228(isname)
       28    0.000    0.000    0.000    0.000 pyparsing.py:3997(__init__)
        1    0.000    0.000    0.000    0.000 numerictypes.py:593(_register_types)
